[01:39:18][INFO][GLFWwindow]:initializing GLFW
[01:39:18][INFO][GLFWwindow]:window initialized
[01:39:18][INFO][renderer]:initializing GLAD
[01:39:18][INFO][fileIO]:reading file:./shaders/secondPass/shader.vert
[01:39:18][INFO][fileIO]:reading file:./shaders/secondPass/shader.frag
[01:39:18][INFO][renderer]:initializing Renderer
[01:39:18][INFO][logger]:logging with log file:logs.txt
[01:39:18][INFO][logger]:logLevel set:DEBUG
[01:39:18][INFO][engine]:Engine initializing
[01:39:18][INFO][fileIO]:reading file:./shaders/simple/shader.vert
[01:39:18][INFO][fileIO]:reading file:./shaders/simple/shader.frag
[01:39:18][INFO][fileIO]:reading file:./shaders/text/shader.vert
[01:39:18][INFO][fileIO]:reading file:./shaders/text/shader.frag
[01:39:18][INFO][fileIO]:reading file:./shaders/light/shader.vert
[01:39:18][INFO][fileIO]:reading file:./shaders/light/shader.frag
[01:39:22][INFO][logger]:logger stopping...
